date,total_kwh
2026-02-19 15:00:00.716063,45.94
2026-02-20 15:00:00.716063,30.6
2026-02-21 15:00:00.716063,46.26
2026-02-22 15:00:00.716063,33.85
2026-02-23 15:00:00.716063,59.04
2026-02-24 15:00:00.716063,30.6
2026-02-25 15:00:00.716063,51.15
2026-02-26 15:00:00.716063,59.17
2026-02-27 15:00:00.716063,53.84
2026-02-28 15:00:00.716063,40.16
2026-03-01 15:00:00.716063,57.25
2026-03-02 15:00:00.716063,41.66
2026-03-03 15:00:00.716063,39.53
2026-03-04 15:00:00.716063,43.12
2026-03-05 15:00:00.716063,39.36
2026-03-06 15:00:00.716063,42.04
2026-03-07 15:00:00.716063,44.24
2026-03-08 15:00:00.716063,43.68
2026-03-09 15:00:00.716063,33.92
2026-03-10 15:00:00.716063,59.75
2026-03-11 15:00:00.716063,48.96
2026-03-12 15:00:00.716063,31.3
2026-03-13 15:00:00.716063,33.58
2026-03-14 15:00:00.716063,45.37
2026-03-15 15:00:00.716063,39.49
2026-03-16 15:00:00.716063,35.98
2026-03-17 15:00:00.716063,41.89
2026-03-18 15:00:00.716063,43.64
2026-03-19 15:00:00.716063,45.48
2026-03-20 15:00:00.716063,53.18
