date,appliance,kwh
2025-03-21 15:00:00.769734,AC,3.45
2025-03-21 15:00:00.769734,Fan,4.47
2025-03-21 15:00:00.769734,TV,3.48
2025-03-21 15:00:00.769734,Fridge,1.72
2025-03-21 15:00:00.769734,Router,1.45
2025-03-22 15:00:00.769734,AC,7.02
2025-03-22 15:00:00.769734,Fan,7.47
2025-03-22 15:00:00.769734,TV,6.58
2025-03-22 15:00:00.769734,Fridge,8.37
2025-03-22 15:00:00.769734,Router,4.9
2025-03-23 15:00:00.769734,AC,7.93
2025-03-23 15:00:00.769734,Fan,7.07
2025-03-23 15:00:00.769734,TV,3.93
2025-03-23 15:00:00.769734,Fridge,2.51
2025-03-23 15:00:00.769734,Router,1.69
2025-03-24 15:00:00.769734,AC,8.49
2025-03-24 15:00:00.769734,Fan,6.48
2025-03-24 15:00:00.769734,TV,0.91
2025-03-24 15:00:00.769734,Fridge,2.36
2025-03-24 15:00:00.769734,Router,2.48
2025-03-25 15:00:00.769734,AC,7.15
2025-03-25 15:00:00.769734,Fan,1.82
2025-03-25 15:00:00.769734,TV,3.71
2025-03-25 15:00:00.769734,Fridge,8.55
2025-03-25 15:00:00.769734,Router,7.43
2025-03-26 15:00:00.769734,AC,5.6
2025-03-26 15:00:00.769734,Fan,3.92
2025-03-26 15:00:00.769734,TV,2.97
2025-03-26 15:00:00.769734,Fridge,8.06
2025-03-26 15:00:00.769734,Router,1.92
2025-03-27 15:00:00.769734,AC,5.24
2025-03-27 15:00:00.769734,Fan,2.18
2025-03-27 15:00:00.769734,TV,7.88
2025-03-27 15:00:00.769734,Fridge,4.35
2025-03-27 15:00:00.769734,Router,5.87
2025-03-28 15:00:00.769734,AC,3.97
2025-03-28 15:00:00.769734,Fan,6.96
2025-03-28 15:00:00.769734,TV,5.47
2025-03-28 15:00:00.769734,Fridge,1.89
2025-03-28 15:00:00.769734,Router,8.86
2025-03-29 15:00:00.769734,AC,5.58
2025-03-29 15:00:00.769734,Fan,3.64
2025-03-29 15:00:00.769734,TV,5.9
2025-03-29 15:00:00.769734,Fridge,1.48
2025-03-29 15:00:00.769734,Router,4.82
2025-03-30 15:00:00.769734,AC,1.63
2025-03-30 15:00:00.769734,Fan,4.68
2025-03-30 15:00:00.769734,TV,7.73
2025-03-30 15:00:00.769734,Fridge,4.1
2025-03-30 15:00:00.769734,Router,4.09
2025-03-31 15:00:00.769734,AC,3.66
2025-03-31 15:00:00.769734,Fan,6.06
2025-03-31 15:00:00.769734,TV,2.71
2025-03-31 15:00:00.769734,Fridge,8.28
2025-03-31 15:00:00.769734,Router,6.24
