date,appliance,kwh
2026-02-19 15:00:00.872602,AC,2.68
2026-02-19 15:00:00.872602,Fan,3.31
2026-02-19 15:00:00.872602,TV,0.33
2026-02-19 15:00:00.872602,Fridge,0.33
2026-02-19 15:00:00.872602,Router,0.82
2026-02-20 15:00:00.872602,AC,0.73
2026-02-20 15:00:00.872602,Fan,0.62
2026-02-20 15:00:00.872602,TV,1.75
2026-02-20 15:00:00.872602,Fridge,1.02
2026-02-20 15:00:00.872602,Router,3.45
2026-02-21 15:00:00.872602,AC,1.44
2026-02-21 15:00:00.872602,Fan,2.48
2026-02-21 15:00:00.872602,TV,2.83
2026-02-21 15:00:00.872602,Fridge,3.41
2026-02-21 15:00:00.872602,Router,3.53
2026-02-22 15:00:00.872602,AC,2.71
2026-02-22 15:00:00.872602,Fan,2.54
2026-02-22 15:00:00.872602,TV,1.55
2026-02-22 15:00:00.872602,Fridge,1.65
2026-02-22 15:00:00.872602,Router,0.84
2026-02-23 15:00:00.872602,AC,1.6
2026-02-23 15:00:00.872602,Fan,2.53
2026-02-23 15:00:00.872602,TV,2.15
2026-02-23 15:00:00.872602,Fridge,0.6
2026-02-23 15:00:00.872602,Router,1.82
2026-02-24 15:00:00.872602,AC,1.71
2026-02-24 15:00:00.872602,Fan,2.5
2026-02-24 15:00:00.872602,TV,1.94
2026-02-24 15:00:00.872602,Fridge,1.73
2026-02-24 15:00:00.872602,Router,2.98
2026-02-25 15:00:00.872602,AC,2.37
2026-02-25 15:00:00.872602,Fan,2.8
2026-02-25 15:00:00.872602,TV,2.9
2026-02-25 15:00:00.872602,Fridge,1.69
2026-02-25 15:00:00.872602,Router,3.03
2026-02-26 15:00:00.872602,AC,0.52
2026-02-26 15:00:00.872602,Fan,3.26
2026-02-26 15:00:00.872602,TV,2.6
2026-02-26 15:00:00.872602,Fridge,3.49
2026-02-26 15:00:00.872602,Router,1.7
2026-02-27 15:00:00.872602,AC,3.51
2026-02-27 15:00:00.872602,Fan,0.5
2026-02-27 15:00:00.872602,TV,0.85
2026-02-27 15:00:00.872602,Fridge,2.18
2026-02-27 15:00:00.872602,Router,1.92
2026-02-28 15:00:00.872602,AC,2.36
2026-02-28 15:00:00.872602,Fan,1.25
2026-02-28 15:00:00.872602,TV,0.79
2026-02-28 15:00:00.872602,Fridge,2.38
2026-02-28 15:00:00.872602,Router,2.47
2026-03-01 15:00:00.872602,AC,1.58
2026-03-01 15:00:00.872602,Fan,0.95
2026-03-01 15:00:00.872602,TV,1.86
2026-03-01 15:00:00.872602,Fridge,0.66
2026-03-01 15:00:00.872602,Router,0.75
2026-03-02 15:00:00.872602,AC,0.98
2026-03-02 15:00:00.872602,Fan,2.55
2026-03-02 15:00:00.872602,TV,2.56
2026-03-02 15:00:00.872602,Fridge,1.71
2026-03-02 15:00:00.872602,Router,2.88
2026-03-03 15:00:00.872602,AC,0.43
2026-03-03 15:00:00.872602,Fan,3.45
2026-03-03 15:00:00.872602,TV,1.79
2026-03-03 15:00:00.872602,Fridge,1.01
2026-03-03 15:00:00.872602,Router,3.47
2026-03-04 15:00:00.872602,AC,3.18
2026-03-04 15:00:00.872602,Fan,2.12
2026-03-04 15:00:00.872602,TV,1.42
2026-03-04 15:00:00.872602,Fridge,3.15
2026-03-04 15:00:00.872602,Router,2.94
2026-03-05 15:00:00.872602,AC,1.79
2026-03-05 15:00:00.872602,Fan,2.04
2026-03-05 15:00:00.872602,TV,2.56
2026-03-05 15:00:00.872602,Fridge,1.94
2026-03-05 15:00:00.872602,Router,3.23
2026-03-06 15:00:00.872602,AC,1.97
2026-03-06 15:00:00.872602,Fan,0.62
2026-03-06 15:00:00.872602,TV,1.09
2026-03-06 15:00:00.872602,Fridge,3.11
2026-03-06 15:00:00.872602,Router,1.1
2026-03-07 15:00:00.872602,AC,0.45
2026-03-07 15:00:00.872602,Fan,1.56
2026-03-07 15:00:00.872602,TV,2.51
2026-03-07 15:00:00.872602,Fridge,2.46
2026-03-07 15:00:00.872602,Router,2.74
2026-03-08 15:00:00.872602,AC,3.37
2026-03-08 15:00:00.872602,Fan,2.26
2026-03-08 15:00:00.872602,TV,1.23
2026-03-08 15:00:00.872602,Fridge,2.37
2026-03-08 15:00:00.872602,Router,0.97
2026-03-09 15:00:00.872602,AC,2.24
2026-03-09 15:00:00.872602,Fan,1.82
2026-03-09 15:00:00.872602,TV,1.47
2026-03-09 15:00:00.872602,Fridge,1.12
2026-03-09 15:00:00.872602,Router,2.04
