date,total_kwh
2026-02-19 15:00:00.872602,15.51
2026-02-20 15:00:00.872602,20.66
2026-02-21 15:00:00.872602,14.79
2026-02-22 15:00:00.872602,12.43
2026-02-23 15:00:00.872602,18.71
2026-02-24 15:00:00.872602,12.61
2026-02-25 15:00:00.872602,16.29
2026-02-26 15:00:00.872602,15.38
2026-02-27 15:00:00.872602,16.58
2026-02-28 15:00:00.872602,16.04
2026-03-01 15:00:00.872602,17.9
2026-03-02 15:00:00.872602,20.88
2026-03-03 15:00:00.872602,17.78
2026-03-04 15:00:00.872602,13.05
2026-03-05 15:00:00.872602,19.03
2026-03-06 15:00:00.872602,19.89
2026-03-07 15:00:00.872602,21.2
2026-03-08 15:00:00.872602,20.94
2026-03-09 15:00:00.872602,13.57
2026-03-10 15:00:00.872602,17.79
2026-03-11 15:00:00.872602,21.69
2026-03-12 15:00:00.872602,18.22
2026-03-13 15:00:00.872602,15.19
2026-03-14 15:00:00.872602,20.57
2026-03-15 15:00:00.872602,20.58
2026-03-16 15:00:00.872602,20.82
2026-03-17 15:00:00.872602,21.49
2026-03-18 15:00:00.872602,18.94
2026-03-19 15:00:00.872602,18.48
2026-03-20 15:00:00.872602,13.25
