date,appliance,kwh
2025-03-21 15:00:00.597561,AC,3.46
2025-03-21 15:00:00.597561,Fan,5.7
2025-03-21 15:00:00.597561,TV,4.86
2025-03-21 15:00:00.597561,Fridge,1.64
2025-03-21 15:00:00.597561,Router,5.72
2025-03-22 15:00:00.597561,AC,2.83
2025-03-22 15:00:00.597561,Fan,2.59
2025-03-22 15:00:00.597561,TV,3.35
2025-03-22 15:00:00.597561,Fridge,2.2
2025-03-22 15:00:00.597561,Router,2.85
2025-03-23 15:00:00.597561,AC,5.08
2025-03-23 15:00:00.597561,Fan,1.55
2025-03-23 15:00:00.597561,TV,0.99
2025-03-23 15:00:00.597561,Fridge,5.99
2025-03-23 15:00:00.597561,Router,3.48
2025-03-24 15:00:00.597561,AC,5.64
2025-03-24 15:00:00.597561,Fan,5.29
2025-03-24 15:00:00.597561,TV,3.46
2025-03-24 15:00:00.597561,Fridge,1.45
2025-03-24 15:00:00.597561,Router,1.39
2025-03-25 15:00:00.597561,AC,0.77
2025-03-25 15:00:00.597561,Fan,4.84
2025-03-25 15:00:00.597561,TV,5.53
2025-03-25 15:00:00.597561,Fridge,2.96
2025-03-25 15:00:00.597561,Router,3.32
2025-03-26 15:00:00.597561,AC,4.5
2025-03-26 15:00:00.597561,Fan,5.09
2025-03-26 15:00:00.597561,TV,2.48
2025-03-26 15:00:00.597561,Fridge,3.97
2025-03-26 15:00:00.597561,Router,5.92
2025-03-27 15:00:00.597561,AC,5.45
2025-03-27 15:00:00.597561,Fan,4.14
2025-03-27 15:00:00.597561,TV,3.11
2025-03-27 15:00:00.597561,Fridge,5.15
2025-03-27 15:00:00.597561,Router,0.58
2025-03-28 15:00:00.597561,AC,4.39
2025-03-28 15:00:00.597561,Fan,4.28
2025-03-28 15:00:00.597561,TV,2.93
2025-03-28 15:00:00.597561,Fridge,0.89
2025-03-28 15:00:00.597561,Router,5.35
2025-03-29 15:00:00.597561,AC,2.47
2025-03-29 15:00:00.597561,Fan,5.95
2025-03-29 15:00:00.597561,TV,4.07
2025-03-29 15:00:00.597561,Fridge,2.52
2025-03-29 15:00:00.597561,Router,2.29
2025-03-30 15:00:00.597561,AC,1.15
2025-03-30 15:00:00.597561,Fan,1.74
2025-03-30 15:00:00.597561,TV,3.82
2025-03-30 15:00:00.597561,Fridge,0.96
2025-03-30 15:00:00.597561,Router,3.33
2025-03-31 15:00:00.597561,AC,5.59
2025-03-31 15:00:00.597561,Fan,3.59
2025-03-31 15:00:00.597561,TV,1.74
2025-03-31 15:00:00.597561,Fridge,5.35
2025-03-31 15:00:00.597561,Router,5.47
2025-04-01 15:00:00.597561,AC,2.11
2025-04-01 15:00:00.597561,Fan,3.88
2025-04-01 15:00:00.597561,TV,1.65
2025-04-01 15:00:00.597561,Fridge,4.96
2025-04-01 15:00:00.597561,Router,5.87
2025-04-02 15:00:00.597561,AC,1.17
2025-04-02 15:00:00.597561,Fan,4.61
2025-04-02 15:00:00.597561,TV,4.99
2025-04-02 15:00:00.597561,Fridge,1.42
2025-04-02 15:00:00.597561,Router,5.39
2025-04-03 15:00:00.597561,AC,2.85
2025-04-03 15:00:00.597561,Fan,4.82
2025-04-03 15:00:00.597561,TV,2.39
2025-04-03 15:00:00.597561,Fridge,2.75
2025-04-03 15:00:00.597561,Router,4.94
2025-04-04 15:00:00.597561,AC,5.23
2025-04-04 15:00:00.597561,Fan,5.03
2025-04-04 15:00:00.597561,TV,2.74
2025-04-04 15:00:00.597561,Fridge,2.59
2025-04-04 15:00:00.597561,Router,2.55
2025-04-05 15:00:00.597561,AC,0.95
2025-04-05 15:00:00.597561,Fan,2.42
2025-04-05 15:00:00.597561,TV,2.73
2025-04-05 15:00:00.597561,Fridge,2.4
2025-04-05 15:00:00.597561,Router,5.63
2025-04-06 15:00:00.597561,AC,3.31
2025-04-06 15:00:00.597561,Fan,5.79
2025-04-06 15:00:00.597561,TV,5.59
2025-04-06 15:00:00.597561,Fridge,3.16
2025-04-06 15:00:00.597561,Router,5.57
2025-04-07 15:00:00.597561,AC,4.18
2025-04-07 15:00:00.597561,Fan,0.8
2025-04-07 15:00:00.597561,TV,1.57
2025-04-07 15:00:00.597561,Fridge,5.82
2025-04-07 15:00:00.597561,Router,1.9
2025-04-08 15:00:00.597561,AC,4.72
2025-04-08 15:00:00.597561,Fan,1.99
2025-04-08 15:00:00.597561,TV,0.71
2025-04-08 15:00:00.597561,Fridge,3.36
2025-04-08 15:00:00.597561,Router,3.79
2025-04-09 15:00:00.597561,AC,3.51
2025-04-09 15:00:00.597561,Fan,2.79
2025-04-09 15:00:00.597561,TV,3.36
2025-04-09 15:00:00.597561,Fridge,3.78
2025-04-09 15:00:00.597561,Router,2.87
2025-04-10 15:00:00.597561,AC,4.17
2025-04-10 15:00:00.597561,Fan,3.92
2025-04-10 15:00:00.597561,TV,5.65
2025-04-10 15:00:00.597561,Fridge,2.58
2025-04-10 15:00:00.597561,Router,3.18
2025-04-11 15:00:00.597561,AC,4.98
2025-04-11 15:00:00.597561,Fan,0.78
2025-04-11 15:00:00.597561,TV,5.07
2025-04-11 15:00:00.597561,Fridge,5.02
2025-04-11 15:00:00.597561,Router,2.78
2025-04-12 15:00:00.597561,AC,5.93
2025-04-12 15:00:00.597561,Fan,0.88
2025-04-12 15:00:00.597561,TV,1.65
2025-04-12 15:00:00.597561,Fridge,0.61
2025-04-12 15:00:00.597561,Router,3.52
2025-04-13 15:00:00.597561,AC,5.45
2025-04-13 15:00:00.597561,Fan,1.98
2025-04-13 15:00:00.597561,TV,5.18
2025-04-13 15:00:00.597561,Fridge,5.57
2025-04-13 15:00:00.597561,Router,5.66
2025-04-14 15:00:00.597561,AC,3.92
2025-04-14 15:00:00.597561,Fan,1.18
2025-04-14 15:00:00.597561,TV,5.85
2025-04-14 15:00:00.597561,Fridge,4.33
2025-04-14 15:00:00.597561,Router,5.92
2025-04-15 15:00:00.597561,AC,5.59
2025-04-15 15:00:00.597561,Fan,4.6
2025-04-15 15:00:00.597561,TV,5.57
2025-04-15 15:00:00.597561,Fridge,4.55
2025-04-15 15:00:00.597561,Router,1.59
2025-04-16 15:00:00.597561,AC,5.02
2025-04-16 15:00:00.597561,Fan,2.23
2025-04-16 15:00:00.597561,TV,1.45
2025-04-16 15:00:00.597561,Fridge,2.64
2025-04-16 15:00:00.597561,Router,1.96
2025-04-17 15:00:00.597561,AC,0.87
2025-04-17 15:00:00.597561,Fan,0.85
2025-04-17 15:00:00.597561,TV,4.21
2025-04-17 15:00:00.597561,Fridge,5.2
2025-04-17 15:00:00.597561,Router,3.49
2025-04-18 15:00:00.597561,AC,3.24
2025-04-18 15:00:00.597561,Fan,4.06
2025-04-18 15:00:00.597561,TV,2.91
2025-04-18 15:00:00.597561,Fridge,4.44
2025-04-18 15:00:00.597561,Router,1.69
2025-04-19 15:00:00.597561,AC,4.8
2025-04-19 15:00:00.597561,Fan,0.77
2025-04-19 15:00:00.597561,TV,5.02
2025-04-19 15:00:00.597561,Fridge,2.28
2025-04-19 15:00:00.597561,Router,3.92
2025-04-20 15:00:00.597561,AC,0.56
2025-04-20 15:00:00.597561,Fan,4.45
2025-04-20 15:00:00.597561,TV,4.62
2025-04-20 15:00:00.597561,Fridge,3.77
2025-04-20 15:00:00.597561,Router,1.24
2025-04-21 15:00:00.597561,AC,0.86
2025-04-21 15:00:00.597561,Fan,1.91
2025-04-21 15:00:00.597561,TV,0.97
2025-04-21 15:00:00.597561,Fridge,1.04
2025-04-21 15:00:00.597561,Router,2.58
2025-04-22 15:00:00.597561,AC,1.69
2025-04-22 15:00:00.597561,Fan,3.32
2025-04-22 15:00:00.597561,TV,3.42
2025-04-22 15:00:00.597561,Fridge,0.83
2025-04-22 15:00:00.597561,Router,1.93
2025-04-23 15:00:00.597561,AC,5.09
2025-04-23 15:00:00.597561,Fan,2.43
2025-04-23 15:00:00.597561,TV,2.13
2025-04-23 15:00:00.597561,Fridge,2.32
2025-04-23 15:00:00.597561,Router,1.62
2025-04-24 15:00:00.597561,AC,5.17
2025-04-24 15:00:00.597561,Fan,4.64
2025-04-24 15:00:00.597561,TV,4.19
2025-04-24 15:00:00.597561,Fridge,5.94
2025-04-24 15:00:00.597561,Router,1.26
2025-04-25 15:00:00.597561,AC,1.48
2025-04-25 15:00:00.597561,Fan,4.68
2025-04-25 15:00:00.597561,TV,3.02
2025-04-25 15:00:00.597561,Fridge,2.82
2025-04-25 15:00:00.597561,Router,3.79
2025-04-26 15:00:00.597561,AC,3.06
2025-04-26 15:00:00.597561,Fan,2.83
2025-04-26 15:00:00.597561,TV,0.62
2025-04-26 15:00:00.597561,Fridge,1.08
2025-04-26 15:00:00.597561,Router,1.86
2025-04-27 15:00:00.597561,AC,5.26
2025-04-27 15:00:00.597561,Fan,1.71
2025-04-27 15:00:00.597561,TV,2.31
2025-04-27 15:00:00.597561,Fridge,4.02
2025-04-27 15:00:00.597561,Router,3.82
2025-04-28 15:00:00.597561,AC,0.66
2025-04-28 15:00:00.597561,Fan,4.43
2025-04-28 15:00:00.597561,TV,0.9
2025-04-28 15:00:00.597561,Fridge,5.57
2025-04-28 15:00:00.597561,Router,2.85
2025-04-29 15:00:00.597561,AC,0.84
2025-04-29 15:00:00.597561,Fan,3.03
2025-04-29 15:00:00.597561,TV,2.06
2025-04-29 15:00:00.597561,Fridge,2.37
2025-04-29 15:00:00.597561,Router,5.56
2025-04-30 15:00:00.597561,AC,4.68
2025-04-30 15:00:00.597561,Fan,2.58
2025-04-30 15:00:00.597561,TV,1.46
2025-04-30 15:00:00.597561,Fridge,1.06
2025-04-30 15:00:00.597561,Router,5.26
2025-05-01 15:00:00.597561,AC,1.04
2025-05-01 15:00:00.597561,Fan,1.3
2025-05-01 15:00:00.597561,TV,5.84
2025-05-01 15:00:00.597561,Fridge,2.74
2025-05-01 15:00:00.597561,Router,3.81
2025-05-02 15:00:00.597561,AC,5.63
2025-05-02 15:00:00.597561,Fan,3.06
2025-05-02 15:00:00.597561,TV,3.36
2025-05-02 15:00:00.597561,Fridge,1.52
2025-05-02 15:00:00.597561,Router,3.15
2025-05-03 15:00:00.597561,AC,5.15
2025-05-03 15:00:00.597561,Fan,5.36
2025-05-03 15:00:00.597561,TV,1.22
2025-05-03 15:00:00.597561,Fridge,3.7
2025-05-03 15:00:00.597561,Router,1.0
2025-05-04 15:00:00.597561,AC,4.03
2025-05-04 15:00:00.597561,Fan,5.2
2025-05-04 15:00:00.597561,TV,1.5
2025-05-04 15:00:00.597561,Fridge,1.31
2025-05-04 15:00:00.597561,Router,5.75
2025-05-05 15:00:00.597561,AC,4.56
2025-05-05 15:00:00.597561,Fan,4.62
2025-05-05 15:00:00.597561,TV,2.63
2025-05-05 15:00:00.597561,Fridge,4.15
2025-05-05 15:00:00.597561,Router,3.09
2025-05-06 15:00:00.597561,AC,3.0
2025-05-06 15:00:00.597561,Fan,4.0
2025-05-06 15:00:00.597561,TV,1.38
2025-05-06 15:00:00.597561,Fridge,5.73
2025-05-06 15:00:00.597561,Router,1.41
2025-05-07 15:00:00.597561,AC,3.79
2025-05-07 15:00:00.597561,Fan,4.59
2025-05-07 15:00:00.597561,TV,5.7
2025-05-07 15:00:00.597561,Fridge,1.41
2025-05-07 15:00:00.597561,Router,4.9
2025-05-08 15:00:00.597561,AC,3.43
2025-05-08 15:00:00.597561,Fan,2.33
2025-05-08 15:00:00.597561,TV,3.55
2025-05-08 15:00:00.597561,Fridge,1.53
2025-05-08 15:00:00.597561,Router,2.91
2025-05-09 15:00:00.597561,AC,3.57
2025-05-09 15:00:00.597561,Fan,3.16
2025-05-09 15:00:00.597561,TV,5.96
2025-05-09 15:00:00.597561,Fridge,2.3
2025-05-09 15:00:00.597561,Router,0.63
2025-05-10 15:00:00.597561,AC,3.5
2025-05-10 15:00:00.597561,Fan,3.68
2025-05-10 15:00:00.597561,TV,3.69
2025-05-10 15:00:00.597561,Fridge,5.35
2025-05-10 15:00:00.597561,Router,3.44
2025-05-11 15:00:00.597561,AC,4.06
2025-05-11 15:00:00.597561,Fan,5.2
2025-05-11 15:00:00.597561,TV,5.56
2025-05-11 15:00:00.597561,Fridge,3.73
2025-05-11 15:00:00.597561,Router,5.69
2025-05-12 15:00:00.597561,AC,2.58
2025-05-12 15:00:00.597561,Fan,5.35
2025-05-12 15:00:00.597561,TV,2.22
2025-05-12 15:00:00.597561,Fridge,3.03
2025-05-12 15:00:00.597561,Router,0.97
2025-05-13 15:00:00.597561,AC,3.38
2025-05-13 15:00:00.597561,Fan,5.42
2025-05-13 15:00:00.597561,TV,2.96
