date,total_kwh
2025-12-21 15:00:00.545203,26.14
2025-12-22 15:00:00.545203,20.9
2025-12-23 15:00:00.545203,24.97
2025-12-24 15:00:00.545203,36.38
2025-12-25 15:00:00.545203,21.55
2025-12-26 15:00:00.545203,34.89
2025-12-27 15:00:00.545203,20.34
2025-12-28 15:00:00.545203,33.75
2025-12-29 15:00:00.545203,34.79
2025-12-30 15:00:00.545203,24.06
2025-12-31 15:00:00.545203,34.19
2026-01-01 15:00:00.545203,25.81
2026-01-02 15:00:00.545203,36.16
2026-01-03 15:00:00.545203,26.4
2026-01-04 15:00:00.545203,20.34
2026-01-05 15:00:00.545203,27.08
2026-01-06 15:00:00.545203,31.27
2026-01-07 15:00:00.545203,38.78
2026-01-08 15:00:00.545203,23.84
2026-01-09 15:00:00.545203,22.06
2026-01-10 15:00:00.545203,38.15
2026-01-11 15:00:00.545203,24.98
2026-01-12 15:00:00.545203,27.77
2026-01-13 15:00:00.545203,26.13
2026-01-14 15:00:00.545203,24.71
2026-01-15 15:00:00.545203,29.15
2026-01-16 15:00:00.545203,25.8
2026-01-17 15:00:00.545203,28.36
2026-01-18 15:00:00.545203,34.66
2026-01-19 15:00:00.545203,24.57
2026-01-20 15:00:00.545203,25.92
2026-01-21 15:00:00.545203,21.99
2026-01-22 15:00:00.545203,39.59
2026-01-23 15:00:00.545203,29.6
2026-01-24 15:00:00.545203,25.96
2026-01-25 15:00:00.545203,38.49
2026-01-26 15:00:00.545203,37.39
2026-01-27 15:00:00.545203,21.14
2026-01-28 15:00:00.545203,38.83
2026-01-29 15:00:00.545203,30.23
2026-01-30 15:00:00.545203,31.8
2026-01-31 15:00:00.545203,28.84
2026-02-01 15:00:00.545203,38.64
2026-02-02 15:00:00.545203,39.04
2026-02-03 15:00:00.545203,36.06
2026-02-04 15:00:00.545203,21.15
2026-02-05 15:00:00.545203,28.57
2026-02-06 15:00:00.545203,37.12
2026-02-07 15:00:00.545203,32.74
2026-02-08 15:00:00.545203,33.44
2026-02-09 15:00:00.545203,34.11
2026-02-10 15:00:00.545203,30.2
2026-02-11 15:00:00.545203,35.45
2026-02-12 15:00:00.545203,24.27
2026-02-13 15:00:00.545203,30.29
2026-02-14 15:00:00.545203,35.7
2026-02-15 15:00:00.545203,33.92
2026-02-16 15:00:00.545203,39.88
2026-02-17 15:00:00.545203,27.38
2026-02-18 15:00:00.545203,21.48
2026-02-19 15:00:00.545203,20.41
2026-02-20 15:00:00.545203,25.02
2026-02-21 15:00:00.545203,28.04
2026-02-22 15:00:00.545203,30.55
2026-02-23 15:00:00.545203,26.26
2026-02-24 15:00:00.545203,34.12
2026-02-25 15:00:00.545203,38.66
2026-02-26 15:00:00.545203,30.06
2026-02-27 15:00:00.545203,37.25
2026-02-28 15:00:00.545203,25.58
2026-03-01 15:00:00.545203,38.49
2026-03-02 15:00:00.545203,25.17
2026-03-03 15:00:00.545203,25.06
2026-03-04 15:00:00.545203,31.1
2026-03-05 15:00:00.545203,35.93
2026-03-06 15:00:00.545203,37.66
2026-03-07 15:00:00.545203,21.36
2026-03-08 15:00:00.545203,21.81
2026-03-09 15:00:00.545203,30.36
2026-03-10 15:00:00.545203,22.54
2026-03-11 15:00:00.545203,32.42
2026-03-12 15:00:00.545203,21.93
2026-03-13 15:00:00.545203,38.76
2026-03-14 15:00:00.545203,29.2
2026-03-15 15:00:00.545203,33.39
2026-03-16 15:00:00.545203,33.89
2026-03-17 15:00:00.545203,21.82
2026-03-18 15:00:00.545203,22.41
2026-03-19 15:00:00.545203,24.71
2026-03-20 15:00:00.545203,33.97
